pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,839.5
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,839.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,841.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,841.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,841.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,841.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,841.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,842.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,842.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,842.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,842.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,842.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,842.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,842.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,843.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,843.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,843.5
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,843.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,843.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,843.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,843.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,843.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,843.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,843.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,843.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,843.68
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,843.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,835.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,834.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,834.98
